,cell,frame,x,y,z,celltype,E_V_cm,date,trial,user,x_shifted,y_shifted,z_shifted
18,0,19,562.6710342715616,43.728648880331335,66.3723675560606,HL-60-TMEM154KO1,0,20241120,0,AP,562.6710342715616,43.728648880331335,66.3723675560606
19,0,20,562.4438213492588,43.904247541117556,66.46773887855618,HL-60-TMEM154KO1,0,20241120,0,AP,562.4438213492588,43.904247541117556,66.46773887855618
20,0,21,562.4312625465309,43.4679036025453,66.93790577367321,HL-60-TMEM154KO1,0,20241120,0,AP,562.4312625465309,43.4679036025453,66.93790577367321
21,0,22,561.7842341758461,46.830584572190936,64.99990404893637,HL-60-TMEM154KO1,0,20241120,0,AP,561.7842341758461,46.830584572190936,64.99990404893637
22,0,23,562.139881286117,48.081417760750305,64.55502447505417,HL-60-TMEM154KO1,0,20241120,0,AP,562.139881286117,48.081417760750305,64.55502447505417
23,0,24,562.3088281251999,48.499044077378585,66.49847224035197,HL-60-TMEM154KO1,0,20241120,0,AP,562.3088281251999,48.499044077378585,66.49847224035197
24,0,25,559.8975216714522,51.46712907512519,72.76203457971212,HL-60-TMEM154KO1,0,20241120,0,AP,559.8975216714522,51.46712907512519,72.76203457971212
25,0,26,560.3588062998784,50.91805247175204,72.57550690026288,HL-60-TMEM154KO1,0,20241120,0,AP,560.3588062998784,50.91805247175204,72.57550690026288
26,0,27,558.4874988446924,52.11410995732669,79.88597028685346,HL-60-TMEM154KO1,0,20241120,0,AP,558.4874988446924,52.11410995732669,79.88597028685346
27,0,28,560.8379444020271,50.79766411326173,80.06647385550072,HL-60-TMEM154KO1,0,20241120,0,AP,560.8379444020271,50.79766411326173,80.06647385550072
28,0,29,564.2226256713916,51.88513632539059,82.41448207111318,HL-60-TMEM154KO1,0,20241120,0,AP,564.2226256713916,51.88513632539059,82.41448207111318
29,0,30,561.465764754679,51.32247669534397,82.26978904106768,HL-60-TMEM154KO1,0,20241120,0,AP,561.465764754679,51.32247669534397,82.26978904106768
30,1,0,47.696549519534,160.8314373205814,161.70264558529823,HL-60-TMEM154KO1,0,20241120,0,AP,47.696549519534,160.8314373205814,161.70264558529823
31,1,1,45.28955012940203,161.50967998094083,161.3541226691493,HL-60-TMEM154KO1,0,20241120,0,AP,45.28955012940203,161.50967998094083,161.3541226691493
32,1,2,44.60795262887627,160.98159919146576,161.86562363156546,HL-60-TMEM154KO1,0,20241120,0,AP,44.60795262887627,160.98159919146576,161.86562363156546
33,1,3,44.08215006441861,161.36760592324515,161.57793110523068,HL-60-TMEM154KO1,0,20241120,0,AP,44.08215006441861,161.36760592324515,161.57793110523068
34,1,4,44.041561396105685,161.66765536956643,162.8006045142805,HL-60-TMEM154KO1,0,20241120,0,AP,44.041561396105685,161.66765536956643,162.8006045142805
35,1,5,42.87235494509934,162.10034478842377,165.05872626142045,HL-60-TMEM154KO1,0,20241120,0,AP,42.87235494509934,162.10034478842377,165.05872626142045
36,1,6,41.74608003683429,159.3801401903031,163.10437214900583,HL-60-TMEM154KO1,0,20241120,0,AP,41.74608003683429,159.3801401903031,163.10437214900583
37,1,7,39.836383833028734,156.929685996979,162.4672446591682,HL-60-TMEM154KO1,0,20241120,0,AP,39.836383833028734,156.929685996979,162.4672446591682
38,1,8,40.335868404773464,157.19427176850252,161.1694418460417,HL-60-TMEM154KO1,0,20241120,0,AP,40.335868404773464,157.19427176850252,161.1694418460417
39,1,9,43.30511597971961,158.95731096477417,162.5880093656833,HL-60-TMEM154KO1,0,20241120,0,AP,43.30511597971961,158.95731096477417,162.5880093656833
