,cell,frame,x,y,celltype,position,E_V_cm,date,trial,user,scope
83,0,1,383.94837496025696,52.43967908736951,CR01-low,12,0,20250506,0,NB,Oslo
84,0,2,378.9542589873328,58.45173174298273,CR01-low,12,0,20250506,0,NB,Oslo
85,0,3,383.26644948391817,62.50543838335719,CR01-low,12,0,20250506,0,NB,Oslo
86,0,4,381.8602747732552,65.01672399832651,CR01-low,12,0,20250506,0,NB,Oslo
87,0,5,379.16003443550926,65.39571794210367,CR01-low,12,0,20250506,0,NB,Oslo
88,0,6,377.5034286940176,66.99345391292879,CR01-low,12,0,20250506,0,NB,Oslo
89,0,7,377.9493297174508,67.0745683377232,CR01-low,12,0,20250506,0,NB,Oslo
90,0,8,377.8550430916994,68.54942945796459,CR01-low,12,0,20250506,0,NB,Oslo
91,0,9,378.95014472859737,68.52969905414695,CR01-low,12,0,20250506,0,NB,Oslo
92,0,10,379.2558526029104,69.4884773101688,CR01-low,12,0,20250506,0,NB,Oslo
93,0,11,377.24056587818535,70.41837313539116,CR01-low,12,0,20250506,0,NB,Oslo
94,0,12,376.2500470420752,69.83788504590002,CR01-low,12,0,20250506,0,NB,Oslo
95,0,13,374.78634739207394,68.92660007075162,CR01-low,12,0,20250506,0,NB,Oslo
96,0,15,369.9880717111697,66.64833911180187,CR01-low,12,0,20250506,0,NB,Oslo
97,0,16,367.6452267664999,65.22075313115873,CR01-low,12,0,20250506,0,NB,Oslo
98,0,17,366.38081741379096,63.22582472064912,CR01-low,12,0,20250506,0,NB,Oslo
99,0,18,364.4425698345612,63.035070169143616,CR01-low,12,0,20250506,0,NB,Oslo
100,0,19,364.5088267453148,63.23696512750786,CR01-low,12,0,20250506,0,NB,Oslo
101,0,20,363.9941196684758,63.02527457071576,CR01-low,12,0,20250506,0,NB,Oslo
102,0,21,363.3336236323602,62.74923361896106,CR01-low,12,0,20250506,0,NB,Oslo
103,0,22,363.4046605729669,63.76068757399063,CR01-low,12,0,20250506,0,NB,Oslo
104,0,23,363.3330985241376,63.93145184473048,CR01-low,12,0,20250506,0,NB,Oslo
105,0,24,363.6952063087077,62.83716883240708,CR01-low,12,0,20250506,0,NB,Oslo
106,0,0,274.1901715878947,84.63080844733665,CR01-low,13,0,20250506,0,NB,Oslo
107,0,1,273.25978563009534,85.13673713475086,CR01-low,13,0,20250506,0,NB,Oslo
108,0,2,272.8337996589397,84.85777424099702,CR01-low,13,0,20250506,0,NB,Oslo
109,0,3,272.549770601668,84.8988897679227,CR01-low,13,0,20250506,0,NB,Oslo
110,0,4,273.2060762265924,85.6994420857458,CR01-low,13,0,20250506,0,NB,Oslo
111,0,5,273.00791298196793,86.28802664481009,CR01-low,13,0,20250506,0,NB,Oslo
112,0,6,272.0431749272766,85.68917300269538,CR01-low,13,0,20250506,0,NB,Oslo
113,0,7,270.81577341196083,85.55918736097975,CR01-low,13,0,20250506,0,NB,Oslo
114,0,8,270.8516122497249,85.23440827245113,CR01-low,13,0,20250506,0,NB,Oslo
115,0,10,271.00607472471665,85.21802433132726,CR01-low,13,0,20250506,0,NB,Oslo
116,0,11,271.88194904455776,84.45000205269488,CR01-low,13,0,20250506,0,NB,Oslo
117,0,12,272.640994704969,83.98068288941532,CR01-low,13,0,20250506,0,NB,Oslo
118,0,13,272.85302735555825,83.11483346254398,CR01-low,13,0,20250506,0,NB,Oslo
119,0,14,273.355773187968,81.5720499947595,CR01-low,13,0,20250506,0,NB,Oslo
120,0,15,273.71129617211307,81.30366382738903,CR01-low,13,0,20250506,0,NB,Oslo
121,0,16,273.58536101544485,79.87474158972512,CR01-low,13,0,20250506,0,NB,Oslo
122,0,17,273.3933256863946,77.154824103046,CR01-low,13,0,20250506,0,NB,Oslo
123,0,18,273.08405269875266,75.9078598722018,CR01-low,13,0,20250506,0,NB,Oslo
124,0,19,271.0674236777001,76.03396597917671,CR01-low,13,0,20250506,0,NB,Oslo
125,0,20,270.4210799776672,74.42251316678617,CR01-low,13,0,20250506,0,NB,Oslo
126,0,21,270.164761891568,73.53494815613035,CR01-low,13,0,20250506,0,NB,Oslo
127,0,22,271.38198423849235,75.33653443664771,CR01-low,13,0,20250506,0,NB,Oslo
128,0,23,271.7263734872242,77.01128092991723,CR01-low,13,0,20250506,0,NB,Oslo
129,0,24,269.21224003315456,75.98950521198678,CR01-low,13,0,20250506,0,NB,Oslo
130,0,0,272.15936572299034,101.47366464305756,CR01-low,15,0,20250506,0,NB,Oslo
131,0,1,271.70662500837767,101.29367934913384,CR01-low,15,0,20250506,0,NB,Oslo
132,0,2,272.1396110843372,100.24968223600024,CR01-low,15,0,20250506,0,NB,Oslo
133,0,3,272.72411010224056,99.99980865382518,CR01-low,15,0,20250506,0,NB,Oslo
134,0,4,272.60210661477817,100.32993975452273,CR01-low,15,0,20250506,0,NB,Oslo
135,0,6,271.2002770952113,101.65864282584148,CR01-low,15,0,20250506,0,NB,Oslo
136,0,7,270.697915959566,101.77057661564548,CR01-low,15,0,20250506,0,NB,Oslo
137,0,8,269.7790046353796,100.87408208703287,CR01-low,15,0,20250506,0,NB,Oslo
138,0,9,268.3683911989044,100.77957141942312,CR01-low,15,0,20250506,0,NB,Oslo
139,0,10,267.8253655619551,98.18957659577688,CR01-low,15,0,20250506,0,NB,Oslo
