,cell,frame,x,y,z,celltype,position,E_V_cm,date,trial,user,celltype_genotype
93,0,21,462.6520445937102,460.6185068461506,0.0,zebrafish_slideA,7,0,20250403,1,NB,Galvanin_WT
94,0,22,448.55597771917377,460.4404855319509,0.0,zebrafish_slideA,7,0,20250403,1,NB,Galvanin_WT
95,0,23,440.2348845318499,457.78841186094,0.0,zebrafish_slideA,7,0,20250403,1,NB,Galvanin_WT
96,0,24,409.4668492574727,454.3789653501792,0.0,zebrafish_slideA,7,0,20250403,1,NB,Galvanin_WT
97,0,25,399.5876556369879,436.7383704732059,0.0,zebrafish_slideA,7,0,20250403,1,NB,Galvanin_WT
98,0,26,402.2940000313175,419.44142614029886,0.0,zebrafish_slideA,7,0,20250403,1,NB,Galvanin_WT
99,0,27,415.35068546672966,397.8766523881624,0.0,zebrafish_slideA,7,0,20250403,1,NB,Galvanin_WT
100,0,28,425.68035676388433,379.55721738881175,0.0,zebrafish_slideA,7,0,20250403,1,NB,Galvanin_WT
101,0,29,437.37456854989983,359.75560452257463,0.0,zebrafish_slideA,7,0,20250403,1,NB,Galvanin_WT
102,1,0,373.1750748071587,409.4481940535178,0.0,zebrafish_slideA,0,0,20250403,0,AP,Galvanin_WT
103,1,1,349.1592684924938,412.9496579186244,0.0,zebrafish_slideA,0,0,20250403,0,AP,Galvanin_WT
104,1,2,324.2543798621977,422.5953259982635,0.0,zebrafish_slideA,0,0,20250403,0,AP,Galvanin_WT
105,1,3,305.3858829466711,437.9847732942055,0.0,zebrafish_slideA,0,0,20250403,0,AP,Galvanin_WT
106,1,4,295.81981163783405,461.7137001747243,0.0,zebrafish_slideA,0,0,20250403,0,AP,Galvanin_WT
107,1,5,296.0333859610322,487.526112105987,0.0,zebrafish_slideA,0,0,20250403,0,AP,Galvanin_WT
108,1,6,305.9865981798919,511.98068227892657,0.0,zebrafish_slideA,0,0,20250403,0,AP,Galvanin_WT
109,1,7,320.50076458720326,528.3149289740129,0.0,zebrafish_slideA,0,0,20250403,0,AP,Galvanin_WT
110,1,8,347.9762588555144,538.606473841193,0.0,zebrafish_slideA,0,0,20250403,0,AP,Galvanin_WT
111,1,9,378.54195482464894,537.3265788319402,0.0,zebrafish_slideA,0,0,20250403,0,AP,Galvanin_WT
112,1,10,402.0777276823877,527.7355232493626,0.0,zebrafish_slideA,0,0,20250403,0,AP,Galvanin_WT
113,1,11,416.1897756132464,505.79087788076697,0.0,zebrafish_slideA,0,0,20250403,0,AP,Galvanin_WT
114,1,12,425.276721977793,481.6261275542037,0.0,zebrafish_slideA,0,0,20250403,0,AP,Galvanin_WT
115,1,13,428.0876087820641,455.6968032387508,0.0,zebrafish_slideA,0,0,20250403,0,AP,Galvanin_WT
116,1,14,421.954835044939,429.48211330205663,0.0,zebrafish_slideA,0,0,20250403,0,AP,Galvanin_WT
117,1,15,412.51518475597874,405.68327359674,0.0,zebrafish_slideA,0,0,20250403,0,AP,Galvanin_WT
118,1,16,394.2857130005335,385.56861982226985,0.0,zebrafish_slideA,0,0,20250403,0,AP,Galvanin_WT
119,1,17,375.759365410537,367.6324275299828,0.0,zebrafish_slideA,0,0,20250403,0,AP,Galvanin_WT
120,1,18,351.726377068216,356.39825110007126,0.0,zebrafish_slideA,0,0,20250403,0,AP,Galvanin_WT
121,1,19,324.14774118426726,356.3588701280989,0.0,zebrafish_slideA,0,0,20250403,0,AP,Galvanin_WT
122,1,20,299.4514690539117,358.66708774133207,0.0,zebrafish_slideA,0,0,20250403,0,AP,Galvanin_WT
123,1,21,275.35373749777045,371.28435963656415,0.0,zebrafish_slideA,0,0,20250403,0,AP,Galvanin_WT
124,1,22,256.30466761917535,390.0061516129157,0.0,zebrafish_slideA,0,0,20250403,0,AP,Galvanin_WT
125,1,23,246.49414695895624,413.9037768750511,0.0,zebrafish_slideA,0,0,20250403,0,AP,Galvanin_WT
126,1,24,246.506891534765,441.120871283824,0.0,zebrafish_slideA,0,0,20250403,0,AP,Galvanin_WT
127,1,25,256.72194623795104,465.7835754801353,0.0,zebrafish_slideA,0,0,20250403,0,AP,Galvanin_WT
128,1,26,279.9011138479217,480.4043263872855,0.0,zebrafish_slideA,0,0,20250403,0,AP,Galvanin_WT
129,1,27,303.42876387398337,487.0707681569645,0.0,zebrafish_slideA,0,0,20250403,0,AP,Galvanin_WT
130,1,28,331.35266301991027,486.2580934098557,0.0,zebrafish_slideA,0,0,20250403,0,AP,Galvanin_WT
131,1,29,356.7918634964453,476.5158191446544,0.0,zebrafish_slideA,0,0,20250403,0,AP,Galvanin_WT
132,1,0,419.6341350668097,225.37022336383944,0.0,zebrafish_slideA,2,0,20250403,0,AP,Galvanin_WT
133,1,1,405.1803265055861,219.41423173210904,0.0,zebrafish_slideA,2,0,20250403,0,AP,Galvanin_WT
134,1,2,390.90123861979936,217.3109659361368,0.0,zebrafish_slideA,2,0,20250403,0,AP,Galvanin_WT
135,1,3,376.0790946705304,228.53320447808545,0.0,zebrafish_slideA,2,0,20250403,0,AP,Galvanin_WT
136,1,4,364.1031862826064,239.6906637495235,0.0,zebrafish_slideA,2,0,20250403,0,AP,Galvanin_WT
137,1,5,346.45144229944765,237.1534387247383,0.0,zebrafish_slideA,2,0,20250403,0,AP,Galvanin_WT
138,1,6,333.30765800470664,229.97470047405392,0.0,zebrafish_slideA,2,0,20250403,0,AP,Galvanin_WT
139,1,7,325.34504937639,216.28134621483943,0.0,zebrafish_slideA,2,0,20250403,0,AP,Galvanin_WT
140,1,8,326.6540844327937,199.07672097425672,0.0,zebrafish_slideA,2,0,20250403,0,AP,Galvanin_WT
141,1,9,323.9630134806958,186.08381004915017,0.0,zebrafish_slideA,2,0,20250403,0,AP,Galvanin_WT
142,1,10,309.48597261983485,182.436970312276,0.0,zebrafish_slideA,2,0,20250403,0,AP,Galvanin_WT
143,1,11,294.87499505467133,170.57280835606497,0.0,zebrafish_slideA,2,0,20250403,0,AP,Galvanin_WT
144,1,12,295.5340426462504,155.7359283967199,0.0,zebrafish_slideA,2,0,20250403,0,AP,Galvanin_WT
145,1,13,307.4838971461623,140.48065476178968,0.0,zebrafish_slideA,2,0,20250403,0,AP,Galvanin_WT
146,1,14,319.24747244521683,127.43877348622462,0.0,zebrafish_slideA,2,0,20250403,0,AP,Galvanin_WT
147,1,15,334.4552324557902,130.7666837964127,0.0,zebrafish_slideA,2,0,20250403,0,AP,Galvanin_WT
148,1,16,350.9996731479459,139.31374238741043,0.0,zebrafish_slideA,2,0,20250403,0,AP,Galvanin_WT
149,1,17,365.72552162443344,150.36399102905764,0.0,zebrafish_slideA,2,0,20250403,0,AP,Galvanin_WT
150,1,18,374.88248336605824,160.55204143261125,0.0,zebrafish_slideA,2,0,20250403,0,AP,Galvanin_WT
151,1,19,366.1096921281899,182.1556067398656,0.0,zebrafish_slideA,2,0,20250403,0,AP,Galvanin_WT
152,1,20,373.3633806838235,195.28228503091117,0.0,zebrafish_slideA,2,0,20250403,0,AP,Galvanin_WT
153,1,21,391.31045849558734,203.58114546964703,0.0,zebrafish_slideA,2,0,20250403,0,AP,Galvanin_WT
154,1,22,402.0102442607397,184.1616742444316,0.0,zebrafish_slideA,2,0,20250403,0,AP,Galvanin_WT
155,1,23,407.3447345930434,169.0280939229418,0.0,zebrafish_slideA,2,0,20250403,0,AP,Galvanin_WT
156,1,24,410.788146787523,154.0806620680588,0.0,zebrafish_slideA,2,0,20250403,0,AP,Galvanin_WT
157,1,25,426.14796707543553,142.60219439557537,0.0,zebrafish_slideA,2,0,20250403,0,AP,Galvanin_WT
158,1,26,418.5371559756672,123.11227342671056,0.0,zebrafish_slideA,2,0,20250403,0,AP,Galvanin_WT
159,1,27,420.9915622147764,111.142166016401,0.0,zebrafish_slideA,2,0,20250403,0,AP,Galvanin_WT
160,1,28,407.280716257444,102.67856708581174,0.0,zebrafish_slideA,2,0,20250403,0,AP,Galvanin_WT
161,1,29,391.5530314950323,94.52237784284183,0.0,zebrafish_slideA,2,0,20250403,0,AP,Galvanin_WT
162,1,0,467.06377035829854,758.4950704338212,0.0,zebrafish_slideA,5,0,20250403,0,AP,Galvanin_WT
