LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(µm),(µm),(µm),(frame),,(µm),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID15554580,15554580,212,141.5755615234375,44.05233212630923,649.1596041430016,174.34960962188387,9.0,9,7.5,1,,574.8070722828913,534.0,383.0,1264.0,1105354.0,129.99666893958724,0.060297410188866675,0.50291065075203
ID15610644,15610644,212,189.29066467285156,86.87863404956998,629.8934158467835,202.6749509516797,18.0,18,7.5,1,,611.2823712948518,538.0,369.0,1800.0,1175496.0,196.15227163939758,0.08876790608987027,0.5081584948465429
ID15174874,15174874,212,159.41371154785156,56.629134609879465,641.7732833790272,197.49973626860822,13.0,13,7.5,1,,579.5949037961518,537.0,385.0,1289.0,1114561.0,130.98469108119622,0.06462639055761456,0.5372132145322752
ID15669970,15669970,212,184.5777130126953,105.27572987584209,622.6933659326883,196.0885679789521,21.0,21,7.5,1,,598.1565262610504,545.0,372.0,1345.0,1150255.0,151.44182503944398,0.07619202817509055,0.5592664538556413
ID15075287,15075287,213,311.37005615234375,70.26456650229063,418.87006558600854,153.16350360746594,10.0,10,7.5,1,,677.2501300052002,590.0,393.0,1685.0,1302352.0,226.4082311716666,0.12831779236209356,0.6803655631910985
ID15168342,15168342,213,286.0628967285156,43.99427692850506,411.1844354136345,153.49004007392517,13.0,13,7.5,1,,646.6661466458659,555.0,378.0,1740.0,1243539.0,224.26066025696534,0.11645794141831661,0.6015666712969252
ID15736258,15736258,213,291.599365234375,43.295486983057756,405.3619217092177,121.90994147951487,6.0,6,7.5,1,,652.1861674466978,552.0,389.0,1741.0,1254154.0,233.0772173702357,0.12065135141679388,0.6025088439731454
ID15367257,15367257,213,277.985595703125,61.085102357211106,417.07748256427874,155.41052869497014,11.0,11,7.5,1,,657.2402496099844,580.0,398.0,1545.0,1263873.0,199.0460090987184,0.11611219432171208,0.6870220131083893
ID15551694,15551694,213,322.95025634765625,66.91239633743794,413.76892051439023,147.34840925482428,9.0,9,7.5,1,,672.235569422777,583.0,378.0,1723.0,1292709.0,223.08828073798114,0.13078874214876374,0.6970494906700558
ID15244813,15244813,213,276.1098327636719,43.493460236019125,410.0347076906361,154.78120218883393,14.0,14,7.5,1,,649.959958398336,554.0,392.0,1693.0,1249873.0,228.11055555376024,0.11814146045601845,0.6021113302041629
